,SDURAKKODU,SDURAKADI,KOORDINAT,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM
5101,284841,ANIL KAAN BERKÖZ SOKAK,POINT (29.1997000000098 40.9692999991169),Maltepe,GIDIS,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5102,264251,KIŞLA CADDESİ,POINT (29.2152330000098 41.0208089991158),Çekmeköy,YENIDOGAN,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5103,183281,ŞEHİR HASTANESİ-KADIN DOĞUM VE KALP DAMAR HASTALIKLARI,POINT (28.7745640000091 41.1043809991144),Basaksehir,HASTANEYE GELIS,YOK,KAPALI,DİĞER,Uygun Degil
5104,261452,PAPATYA SİTESİ,POINT (29.2700240000093 40.9233229991181),Pendik,KARTAL,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5105,285481,AY BALIĞI SOKAK,POINT (29.4537000000073 41.1908769991126),Sile,ÜSKÜDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5106,222683,HALİT BİN VELİT CAMİİ,POINT (29.2160967175718 41.022441286593),Çekmeköy,ÜSKÜDAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5107,129032,KUMBURGAZ-ŞEHİT MUSTAFA YILDIRIM,POINT (28.465809999948 41.0263330005566),Büyükçekmece,SILIVRI,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
5108,108001,SAHİL YOLU-2,POINT (28.7043239999758 41.3334350006074),Arnavutköy,YENIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5109,263642,PİR SULTAN ABDAL CADDESİ,POINT (29.1625999980196 40.9442000281484),Maltepe,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5110,180882,PİRİNÇÇİ KÖYÜ,POINT (28.8526140236105 41.1629170446541),Eyüpsultan,KEMERBURGAZ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5111,180351,GÜVENÇ,POINT (28.3761450480875 41.0875989893901),Silivri,KAVAKLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
5112,180431,KAVAKLI YOLU,POINT (28.2982970277352 41.0698779990242),Silivri,SILIVRI,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
5113,180432,KAVAKLI YOLU,POINT (28.2977179812782 41.0700110145738),Silivri,TÜYAP,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
5114,286851,HEYBELİADA SU SPORLARI,POINT (29.0919000723992 40.8811498981495),ADALAR,HEYBELI ADA ISKELE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
