,SDURAKKODU,SDURAKADI,KOORDINAT,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM
0,225981,DENİZ HARP OKULU,POINT (29.266183999994 40.8140130005245),Tuzla,TUZLA,YOK,KAPALI,CCMODERN,Uygun Degil
1,214552,ORTADAĞ,POINT (29.2146629999931 40.9545840005467),Sancaktepe,SARIGAZI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
2,127912,CİHANGİR MAHALLESİ,POINT (28.7138379999778 40.9909100005519),Avcilar,B.ÇEKMECE,VAR,AÇIK,İETTBAYRAK,Uygun Degil
3,112962,SALİHPAŞA,POINT (29.0171530014486 41.2225459948658),Sariyer,SARIYER,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
4,127001,GÜRPINAR,POINT (28.6150769999693 40.9905620005515),Beylikdüzü,SITELER-B.DÜZÜ,YOK,KAPALI,CCMODERN,Uygun Degil
5,108881,İNEBEY,POINT (28.9502349969637 41.0088629810843),Fatih,AKSARAY,YOK,KAPALI,CCMODERNDR,Uygun Degil
6,115181,ÇAKIROĞLU,POINT (28.9970100084085 41.1088629888919),Sariyer,AYAZAGA KÖYÜ,YOK,,AÇIK DURAK,Uygun Degil
7,165111,VEYSEL KARANİ CADDESİ,POINT (28.8497740219072 41.0635730301376),Bagcilar,BAGCILAR,YOK,AÇIK,AÇIK DURAK,Uygun Degil
8,216932,DOĞANEVLER CADDESİ,POINT (29.1374240058257 41.0132259995105),Ümraniye,IMES,YOK,AÇIK,AÇIK DURAK,Uygun Degil
9,209061,TELEFON SANTRALİ,POINT (29.3220969999944 40.8694820005333),Tuzla,PENDIK,YOK,KAPALI,CCMODERNDR,Uygun Degil
10,229211,ATATÜRK CADDESİ,POINT (29.4593159999955 40.9738280005498),Pendik,GÖÇBEYLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
11,113001,ÇAYIRBAŞI,POINT (29.0348399683754 41.1558149985463),Sariyer,BAHÇEKÖY,YOK,KAPALI,WALLMODERN,Uygun Degil
12,113011,FİDAN SOKAK,POINT (29.0308190449227 41.1556449741158),Sariyer,BAHÇEKÖY,YOK,KAPALI,CCMODERN,Uygun Degil
13,113172,KEFELİKÖY,POINT (29.0360659999899 41.1533050005783),Sariyer,ÇAYIRBASI,VAR,KAPALI,CCMODERNDR,Uygun Degil
14,113252,MASLAK,POINT (29.0209720086216 41.1085509961235),Sariyer,LEVENT,VAR,KAPALI,WALLMODERN,Uygun Degil
15,131892,FÜRUZAN SADIKOĞLU ORTAOKULU,POINT (28.8366709999843 41.0577740005628),Bagcilar,GÖZTEPE-AKSARAY,YOK,KAPALI,CCMODERN,Uygun Degil
16,166051,İSTOÇ  CAMİİ,POINT (28.8282689999839 41.0644960005639),Bagcilar,BASAKSEHIR,YOK,KAPALI,CCMODERN,Uygun Degil
17,103731,İBB BAKIRKÖY,POINT (28.8857385193682 40.9997130865929),Bakirköy,KAZLIÇESME,YOK,AÇIK,İETTBAYRAK,Uygun Degil
18,121861,BAKIRKÖY ADLİYESİ,POINT (28.880701989387 40.9998719662147),Bakirköy,CEVIZLIBAG,VAR,KAPALI,CCMODERNDR,Uygun Degil
19,206461,ÇAMLIK,POINT (29.351141005046 40.9266679865022),Tuzla,PENDIK  132,YOK,AÇIK,İETTBAYRAK,Uygun Degil
20,207582,BAHÇELER,POINT (29.3013759999943 40.8178460005251),Tuzla,BOSTANCI,YOK,KAPALI,İETTCAMLI,Uygun Degil
21,207801,İÇMELER MERKEZ,POINT (29.3053649999943 40.84922400053),Tuzla,TEPEÖREN  133 D,YOK,KAPALI,CCMODERN,Uygun Degil
22,213502,HALİL TÜRKKAN KIZ ANADOLU İMAM HATİP LİSESİ,POINT (29.3337319999945 40.8721990005337),Tuzla,ESENYALI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
23,207602,TUZLA ANADOLU LİSESİ,POINT (29.3078099999944 40.8204060005256),Tuzla,KADIKÖY (500ES),YOK,KAPALI,CCMODERN,Uygun Degil
24,126581,BAŞAKŞEHİR 1.ETAP CAMİİ,POINT (28.7893539999819 41.1038740005701),Basaksehir,IKITELLI GARAJI,VAR,KAPALI,CCMODERN,Uygun Degil
25,126671,MİMARLAR SİTESİ,POINT (28.6745649999745 41.0785670005658),Basaksehir,ESENKENT-BOGAZKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
26,126672,MİMARLAR SİTESİ,POINT (28.6749009999745 41.0785960005658),Basaksehir,YENIKAPI,YOK,KAPALI,CCMODERNDR,Uygun Degil
27,127242,YEŞİLPARK,POINT (28.6724399999742 41.085679000567),Basaksehir,YENIKAPI,YOK,AÇIK,AÇIK DURAK,Uygun Degil
28,226441,GÜMRÜK BÖLGE MÜDÜRLÜĞÜ,POINT (29.134017999992 40.9827820005511),Atasehir,KADIKÖY  19T,YOK,KAPALI,CCMODERN,Uygun Degil
29,211452,UYDUKENT  ,POINT (29.133556999992 40.9863910005517),Atasehir,SARIGAZI,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil
30,129241,ABDURRAHMAN NAFİZ GÜRMAN MAHALLESİ,POINT (28.8928889999866 41.0056620005546),Güngören,Z.BURNU METRO-MERTER,YOK,KAPALI,CCMODERN,Uygun Degil
31,205741,ATAŞEHİR BULVARI,POINT (29.1143199999916 40.9917110005525),Atasehir,ATASEHIR,YOK,FULL KAPALI,İSTON GENİŞ_İBB,Uygun Degil
32,207631,VATAN CADDESİ,POINT (29.3210219999945 40.8252780005263),Tuzla,TUZLA,YOK,AÇIK,İETTBAYRAK,Uygun
33,205892,AKFIRAT PARKI,POINT (29.4165739999952 40.9239830005418),Tuzla,AKFIRAT SONDURAK,YOK,AÇIK,AÇIK DURAK,Uygun Degil
34,229031,ORHANGAZİ CADDESİ,POINT (29.3744769999948 40.9024780005384),Tuzla,KARTAL,YOK,KAPALI,İETTCAMLI,Uygun Degil
35,218412,ŞENER SOKAK,POINT (29.1463339999919 41.1166480005726),Beykoz,KAVACIK,YOK,AÇIK,İETTBAYRAK,Uygun Degil
36,218421,MEHMET UÇAR SOKAK,POINT (29.1480719999919 41.1103230005716),Beykoz,KAVACIK,YOK,KAPALI,İETTCAMLI,Uygun Degil
37,218611,KABAKOZ YOLU,POINT (29.1633679891646 41.2163179606892),Beykoz,KAVACIK,YOK,AÇIK,AÇIK DURAK,Uygun Degil
38,218661,UFUK CADDESİ,POINT (29.1642129999921 41.0952980005692),Beykoz,KAVACIK AKTARMA,YOK,AÇIK,İETTBAYRAK,Uygun Degil
39,222931,KARACAAHMET CEMEVİ,POINT (29.02142099999 41.0129460005559),Üsküdar,BAGLARBASI,YOK,KAPALI,WALLMODERN,Uygun Degil
40,222951,ÜSKÜDAR ASKERLİK ŞUBESİ,POINT (29.0291769999902 41.0156880005563),Üsküdar,BAGLARBASI,YOK,KAPALI,WALLMODERN,Uygun Degil
41,103542,HAVA MÜZESİ,POINT (28.8253579999842 40.9632010005477),Bakirköy,KÜÇÜKÇEKMECE,YOK,KAPALI,CCMODERN,Uygun Degil
42,125152,SANAYİ MAHALLESİ,POINT (28.8163759999835 41.0450670005608),Bagcilar,IKITELLI AKSARAY,YOK,AÇIK,İETTBAYRAK,Uygun
43,229572,EKİN SOKAK,POINT (29.3660300097883 40.8435389785238),Tuzla,SEKERPINAR,YOK,AÇIK,AÇIK DURAK,Uygun Degil
44,225872,TUZLA MARİNA,POINT (29.3210159999945 40.8220500005258),Tuzla,TUZLA,YOK,AÇIK,İETTBAYRAK,Uygun Degil
45,250182,YEŞİLVADİ PARK,POINT (29.378930029389 40.863971987046),Çayirova,SEKERPINAR,YOK,AÇIK,DİĞER,Uygun Degil
46,219461,KANLICA,POINT (29.0660273674773 41.0996357707854),Beykoz,BEYKOZ,YOK,KAPALI,WALLMODERN,Uygun Degil
47,113632,DUMLUPINAR İLKOKULU,POINT (29.0371629617126 41.0926319650401),Sariyer,K.ARMUTLU,YOK,AÇIK,İETTBAYRAK,Uygun Degil
48,100071,YEŞİLTEPE,POINT (28.7039479999769 41.0361650005591),Avcilar,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
49,109772,TAYAKADIN TEPE,POINT (28.6858709999746 41.2645250005961),Arnavutköy,TERKOS,YOK,AÇIK,AÇIK DURAK,Uygun Degil
50,121362,TAŞ OCAĞI ,POINT (28.8428339999841 41.206951000587),Eyüpsultan,KEMERBURGAZ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
51,128411,MEGAKENT,POINT (28.6484949999725 40.9941260005522),Beylikdüzü,AVCILAR,VAR,KAPALI,CCMODERN,Uygun Degil
52,106541,BOLLUCA,POINT (28.7639609999802 41.1979250005854),Arnavutköy,ARNAVUTKÖY,YOK,KAPALI,CCMODERN,Uygun Degil
53,120973,AYVANSARAY,POINT (28.9374179999879 41.0381500005598),Eyüpsultan,MECIDIYEKÖY,VAR,KAPALI,WALLMODERN,Uygun Degil
54,205191,ADİL MAHALLESİ,POINT (29.2615149999936 40.9757540005501),Sultanbeyli,ÜMRANIYE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
55,224092,GÖRGÜLÜ SOKAK,POINT (29.2147030000101 40.9776359991173),Sancaktepe,YENIDOGAN,YOK,AÇIK,İETTBAYRAK,Uygun Degil
56,212071,AYDINLAR CADDESİ,POINT (29.3811899592196 40.7882589740097),Darica,KARTAL METRO,YOK,AÇIK,AÇIK DURAK,Uygun Degil
57,212091,BAYRAMOĞLU,POINT (29.3693509784773 40.8096540079128),Gebze,PENDIK,YOK,KAPALI,CCMODERN,Uygun Degil
58,212562,MAKASBAŞI,POINT (29.4048269952069 40.7855309904384),Darica,GEBZE ISTASYON,YOK,KAPALI,İETTBAYRAK,Uygun Degil
59,260252,KUŞTEPE MESİRE ALANI,POINT (29.4035729990189 40.8364889812515),Çayirova,ÇAGDASKENT SAGLIK OCAGI,YOK,AÇIK,AÇIK DURAK,Uygun Degil
60,100552,OKUL CADDESİ,POINT (28.7110270000068 41.0069569991164),Avcilar,YESILKENT,YOK,AÇIK,AÇIK DURAK,Uygun Degil
61,216762,İTFAİYE AMİRLİĞİ,POINT (29.1381019999919 41.0748540005659),Beykoz,ÜMRANIYE 11Ç,YOK,KAPALI,CCMODERN,Uygun Degil
62,226721,PAŞABAHÇE BLOKLARI,POINT (29.1196589999919 40.9685130005489),Atasehir,FINDIKLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
63,116331,LEVENT CAMİİ,POINT (29.0174389999898 41.0789060005665),Besiktas,LEVENT,YOK,AÇIK,İETTBAYRAK,Uygun Degil
64,116342,LOJMAN LOLU,POINT (29.0157609765359 41.094538999929),Besiktas,EMIRGAN,YOK,KAPALI,CCMODERNDR,Uygun Degil
65,116362,ÇİLEKLİ,POINT (29.0183889740866 41.0933660440096),Besiktas,EMIRGAN,YOK,KAPALI,CCMODERNDR,Uygun Degil
66,118511,MURADİYE,POINT (29.0000229999893 41.0474590005612),Besiktas,EMINÖNÜ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
67,214252,SELÇUK ECZA 50.YIL ORTAOKULU,POINT (29.1497839999922 41.0045000005546),Ümraniye,ÜSKÜDAR,VAR,KAPALI,CCMODERN,Uygun Degil
68,218122,GÖKSU CADDESİ,POINT (29.1309819999919 41.0039230005545),Ümraniye,DUDULLU,YOK,AÇIK,İETTBAYRAK,Uygun Degil
69,219181,BALKAN CADDESİ,POINT (29.1288129999919 41.0238350005576),Ümraniye,TEPEÜSTÜ 122C-L,YOK,AÇIK,İETTBAYRAK,Uygun Degil
70,303381,KABATAŞ,POINT (28.9931899778288 41.0345740087649),Beyoglu,B.TAS (29C-29D-41E),YOK,AÇIK,AÇIK DURAK,Uygun Degil
71,223501,ŞEHİT LOKMAN OKTAY,POINT (29.1003619999913 41.014141000556),Ümraniye,MUSTAFA KEMAL MAH.,YOK,FULL KAPALI,İSTON DAR_İBB,Uygun Degil
72,225847,İÇMELER KÖPRÜSÜ,POINT (29.2989179999942 40.8497950005301),Tuzla,TUZLA  133 P,YOK,KAPALI,CCMODERN,Uygun Degil
73,127981,FUNDA 1,POINT (28.6759499999735 41.065642000563),Basaksehir,B.SEHIR-TEM,YOK,KAPALI,DİĞER,Uygun Degil
74,128012,DÜDEN 5-6-7,POINT (28.6782349999748 41.0707770005645),Basaksehir,TEM-BAHÇESEHIR,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil
75,128042,BAHÇEŞEHİR CAMİİ,POINT (28.6841859999753 41.0687740005642),Basaksehir,TEM-BAHÇESEHIR,YOK,KAPALI,CCMODERN,Uygun Degil
76,130302,TEKSTİLKENT EVLERİ,POINT (28.75354199998 41.0967480005689),Basaksehir,KAYASEHIR,YOK,AÇIK,AÇIK DURAK,Uygun Degil
77,227221,BELEDİYE EVLERİ,POINT (29.0834719999913 40.9861270005517),Kadiköy,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
78,408031,KADIKÖY,POINT (29.0242299983453 40.9940730008421),Kadiköy,RIHTIM2 PERON,VAR,KAPALI,CCMODERN,Uygun Degil
79,216002,MESİRE ALANI,POINT (29.1238049999917 41.050483000562),Ümraniye,ORTAÇESME 20,YOK,AÇIK,İETTBAYRAK,Uygun Degil
80,217591,SAHRA SOKAK,POINT (29.0871410008806 41.0688650093298),Beykoz,GÖLBAHÇE 15N,YOK,AÇIK,AÇIK DURAK,Uygun Degil
81,220611,GÖZTEPE,POINT (29.080046999991 41.0807770005668),Beykoz,YENICAMI,YOK,KAPALI,CCMODERN,Uygun Degil
82,131151,RUMELİLER SİTESİ,POINT (28.7605439999804 41.0992360005694),Basaksehir,YENIBOSNA,YOK,KAPALI,İETTCAMLI,Uygun Degil
83,209792,HAKİŞ SİTESİ,POINT (29.2966759999941 40.9282810005425),Pendik,PENDIK,VAR,KAPALI,CCMODERN,Uygun Degil
84,209931,RAMAZANOĞLU MAHALLESİ,POINT (29.2866859824045 40.8959799649498),Pendik,PARSELLER,YOK,AÇIK,AÇIK DURAK,Uygun Degil
85,210292,MOSTAR KÖPRÜSÜ,POINT (29.2374129999935 40.8782400005346),Pendik,KADIKÖY,YOK,KAPALI,CCMODERNDR,Uygun Degil
86,130821,FESLEĞEN SİTESİ,POINT (28.7859929999817 41.1122310005715),Basaksehir,BASAKSEHIR 2.ETAP,YOK,KAPALI,CCMODERN,Uygun Degil
87,219562,GÜMÜŞSUYU MAHALLESİ,POINT (29.0985419999912 41.1249160005739),Beykoz,ÜSKÜDAR,YOK,KAPALI,WALLMODERN,Uygun Degil
88,219621,ÇAYIR CADDESİ,POINT (29.0871619999909 41.1445820005771),Beykoz,BEYKOZ,YOK,KAPALI,WALLMODERN,Uygun Degil
89,207861,ALPER SOKAK,POINT (29.3547139999948 40.8259270005264),Tuzla,KADIKÖY,YOK,FULL KAPALI,İSTON DAR,Uygun Degil
90,229631,SAĞLIK OCAĞI,POINT (29.3609469999948 40.8372160005282),Tuzla,KARTAL,YOK,AÇIK,İETTBAYRAK,Uygun Degil
91,207772,İSTASYON YOLU,POINT (29.3207429999945 40.8243200005261),Tuzla,BOSTANCI,YOK,KAPALI,CCMODERNDR,Uygun Degil
92,203982,ŞABANLI MEVKİİ,POINT (29.4505130000074 41.1906689991128),Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
93,202192, TAŞDELEN İMKB MESLEKİ VE TEKNİK ANADOLU LİSESİ,POINT (29.2323669999932 41.0301120005586),Çekmeköy,TASDELEN,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
94,126171,BÜYÜKÇEKMECE-1,POINT (28.5813629999987 41.0203969991158),Büyükçekmece,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
95,217781,BULVAR GİRİŞİ,POINT (29.3012109999941 40.9416600005446),Sultanbeyli,SULTANBEYLI PERONLAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
96,208351,ATAŞEHİR TOPLUM SAĞLIĞI MERKEZİ,POINT (29.1128269999917 40.981800000551),Atasehir,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
97,212451,YENGEÇ SOKAK,POINT (29.3013609932512 40.8652190380627),Pendik,KARTAL METRO,YOK,AÇIK,AÇIK DURAK,Uygun Degil
98,212621,NECİP FAZIL KISAKÜREK ORTAOKULU,POINT (29.288322999994 40.9227340005416),Pendik,TEPEÜSTÜ,YOK,FULL KAPALI,İSTON GENİŞ,Uygun Degil
99,133261,KABAKÇA YOLU,POINT (28.3706959999258 41.2129590005861),Çatalca,ÇATALCA,YOK,KAPALI,DİĞER,Uygun Degil
100,202391,AHMETLİ YAHŞİBEY İLKOKULU,POINT (29.5846160000056 41.1473339991138),Sile,ÜSKÜDAR,YOK,KAPALI,İETTCAMLI,Uygun Degil
101,206121,İBRAHİM AZMİ BEĞEN CAMİİ,POINT (29.2936396167391 40.8593199991197),Pendik,AHMET YESEVI,YOK,AÇIK,AÇIK DURAK,Uygun Degil
102,104031,AĞAOĞLU ÇARŞI,POINT (28.7755429981312 41.0658180079566),Basaksehir,YENIKAPI,YOK,KAPALI,DİĞER,Uygun Degil
103,102331,ALTINBAŞ ÜNİVERSİTESİ,POINT (28.8203619999836 41.0583090005629),Bagcilar,MECIDIYEKÖY,YOK,KAPALI,CCMODERN,Uygun Degil
104,230232,ŞEHRİYAZ KONUTLARI,POINT (29.3173949999944 40.8675370005329),Tuzla,AKFIRAT,YOK,AÇIK,İETTBAYRAK,Uygun Degil
105,209571,İSMET İNÖNÜ CADDESİ,POINT (29.3728459567505 40.8567110444646),Çayirova,KARTAL,YOK,AÇIK,AÇIK DURAK,Uygun Degil
106,209621,ŞEHİT ALİ ATİK CAMİİ,POINT (29.375417808182 40.8617215615052),Çayirova,KARTAL,YOK,AÇIK,İETTBAYRAK,Uygun Degil
107,208051,YILDIRIM BEYAZIT CAMİİ,POINT (29.2726969999939 40.8817380005352),Pendik,KARTAL,YOK,KAPALI,İETTMODERN,Uygun Degil
108,228762,DEDEPAŞA CADDESİ,POINT (29.3066339999941 40.9408060005445),Pendik,SULTANBEYLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
109,230441,MAREŞAL FEVZİ ÇAKMAK,POINT (29.2578339999937 40.8885080005362),Pendik,PENDIK KÖPRÜSÜ,YOK,AÇIK,İETTBAYRAK,Uygun Degil
110,213322,ŞEYH ŞABANİ VELİ CAMİİ,POINT (29.3063939999942 40.8752150005341),Pendik,AHMET YESEVI MAH.,YOK,AÇIK,İETTBAYRAK,Uygun Degil
111,213522,AYDOS  AİLE SAĞLIĞI MERKEZİ,POINT (29.2604229999937 40.918797000541),Pendik,HILAL KONUTLARI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
112,201232,NURBABA SOKAK,POINT (29.0607430121894 41.0265549898489),Üsküdar,BURHANIYE PERON,YOK,AÇIK,İETTBAYRAK,Uygun Degil
113,201271,BURHANİYE MAHALLESİ,POINT (29.0541679999906 41.0346120005594),Üsküdar,BURHANIYE PERON,YOK,AÇIK,İETTBAYRAK,Uygun Degil
114,201302,DÖRTYOL,POINT (29.0855389999912 41.0147050005562),Üsküdar,ÜSKÜDAR,YOK,KAPALI,İETTCAMLI,Uygun Degil
115,201311,ÜÇYOL,POINT (29.0869610000112 41.0106069991167),Üsküdar,ESATPASA 11L,YOK,AÇIK,İETTBAYRAK,Uygun Degil
116,203731,ŞEHİT MEHMET ŞEVKET UZUN,POINT (29.0823179999911 41.026163000558),Üsküdar,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun
117,203781,SELAMİ TÜRBESİ SOKAK,POINT (29.0644719999908 41.0245400005577),Üsküdar,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
118,129441,GÜLBAHAR CADDESİ,POINT (28.8144269999834 41.0330740005588),Bagcilar,GÜNESLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
119,210502,ŞEKERPINAR SAPAĞI,POINT (29.3684619999948 40.9011280005383),Tuzla,PENDIK 132-133D,YOK,AÇIK,İETTCAMLI,Uygun Degil
120,211691,LİDER SOKAK,POINT (29.2308319999934 40.9121330005399),Kartal,YAKACIK,YOK,KAPALI,CCMODERNDR,Uygun Degil
121,230121,KADIPAŞA SOKAK,POINT (29.0871109981162 40.9709819963103),Kadiköy,KADIKÖY,YOK,AÇIK,AÇIK DURAK,Uygun Degil
122,227581,ERCAN SOKAK,POINT (29.2268039999934 40.9039060005387),Kartal,KADIKÖY,YOK,FULL KAPALI,İSTON DAR,Uygun Degil
123,202611,DENİZLİ KÖYÜ SAPAĞI,POINT (29.7808779999981 41.0968220005696),Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil
124,205232,TAVŞAN TEPE,POINT (29.2483970000098 40.9835739991172),Sultanbeyli,SULTANBEYLI,YOK,AÇIK,AÇIK DURAK,Uygun Degil
125,104111,FİLDAMI YOLU,POINT (28.8875049999865 40.9955890005529),Bakirköy,KAZLIÇESME,YOK,AÇIK,İETTBAYRAK,Uygun
126,210871,DİNAR SOKAK,POINT (29.2330510128704 40.8964790272807),Kartal,SON DURAK 21K,YOK,AÇIK,AÇIK DURAK,Uygun Degil
127,261702,EYLÜL SOKAK,POINT (29.2287189999934 40.9094490005396),Kartal,KURFALI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
128,227722,MUHSİN YAZICIOĞLU CADDESİ,POINT (29.2677379999939 40.8912680005366),Pendik,SULTANBEYLI,YOK,KAPALI,İETTMODERN,Uygun Degil
129,227702,ATATÜRK CADDESİ,POINT (29.2158539652692 40.9183810373376),Kartal,UGUR MUMCU,YOK,AÇIK,AÇIK DURAK,Uygun Degil
130,128252,YEŞİLKENT,POINT (28.6966429999763 41.0415540005599),Esenyurt,YESILKENT,YOK,AÇIK,İETTBAYRAK,Uygun
131,107651,ABDİSUBAŞI MAHALLESİ,POINT (28.9533580000115 41.0258249991162),Fatih,ÇARSAMBA,YOK,KAPALI,CCMODERN,Uygun
132,114641,ATATÜRK MEYDANI ,POINT (28.9985699799745 41.1152369862847),Sariyer,LEVENT,VAR,KAPALI,WALLMODERN,Uygun Degil
133,221031,DUTDERE,POINT (29.1692879999922 41.0906460005683),Beykoz,15 KÇ SONDURAK,YOK,KAPALI,İETTCAMLI,Uygun
134,205501,ATATÜRK CADDESİ,POINT (29.3512159999948 40.8269870005266),Tuzla,TOPKAPI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
135,206831,YAHYA KEMAL MESLEKİ VE TEKNİK ANADOLU LİSESİ,POINT (29.3367489999946 40.8638920005324),Tuzla,KARTAL,YOK,KAPALI,CCMODERNDR,Uygun Degil
136,124292,OSMANLI CADDESİ,POINT (28.7535529999797 41.0652290005636),Basaksehir,GÜVERCINTEPE,YOK,KAPALI,DİĞER,Uygun Degil
137,126441,FATİH SANAYİ SİTESİ,POINT (28.7963229999824 41.0882600005676),Basaksehir,BASAKSEHIR-ISTOÇ,YOK,KAPALI,CCMODERN,Uygun Degil
138,229612,MEZARLIK,POINT (29.3654339762316 40.8380779875968),Tuzla,SEKERPINAR,YOK,AÇIK,AÇIK DURAK,Uygun Degil
139,107671,ALİ NAKİ SOKAK,POINT (28.9521899999884 41.0244580005577),Fatih,BALAT,YOK,AÇIK,İETTBAYRAK,Uygun
140,111022,İNCİRLİ (E-5) ,POINT (28.8684069999858 40.996407000553),Bakirköy,CEVIZLIBAG,VAR,KAPALI,WALLMODERN,Uygun Degil
141,210432,TERSANE YOLU,POINT (29.272237999994 40.8638160005324),Pendik,PENDIK,YOK,KAPALI,CCMODERNDR,Uygun Degil
142,218282,KEVSER CAMİİ,POINT (29.2386519999932 41.0302680005588),Çekmeköy,NISANTEPE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
143,218731,TURGUT ÖZAL CADDESİ,POINT (29.2364449999932 41.0417500005606),Çekmeköy,KADIKÖY,YOK,KAPALI,CCMODERNDR,Uygun Degil
144,207712,EVLİYA ÇELEBİ CAMİİ,POINT (29.3067519999943 40.8408900005287),Tuzla,BOSTANCI,YOK,KAPALI,CCMODERN,Uygun Degil
145,225942,KEREM SOKAK,POINT (29.2868519999942 40.817170000525),Tuzla,TUZLA SON DURAK,YOK,AÇIK,AÇIK DURAK,Uygun Degil
146,225961,ÇALI SOKAK,POINT (29.2800739999941 40.8180510005251),Tuzla,KADIKÖY,YOK,KAPALI,CCMODERN,Uygun Degil
147,113581,ETİLER MAHALLESİ,POINT (29.0379049544751 41.0890160048811),Besiktas,MERKEZ,YOK,AÇIK,AÇIK DURAK,Uygun Degil
148,222291,CEMİL MERİÇ MAHALLESİ,POINT (29.137770999992 41.0167920005565),Ümraniye,SARIGAZI LOJ.,VAR,KAPALI,CCMODERNDR,Uygun Degil
149,223951,TÜRKLER CADDESİ,POINT (29.1010299999915 41.0112620005556),Ümraniye,ATAKENT,YOK,AÇIK,İETTÜÇGEN,Uygun Degil
150,165992,GAZİOSMANPAŞA YOLU,POINT (28.8009149999822 41.1190590005723),Basaksehir,IKITELLI,YOK,KAPALI,DİĞER,Uygun Degil
151,176012,BOĞAZKÖY MERKEZ CAMİİ,POINT (28.6655240170234 41.0786560347228),Basaksehir,DÖNÜS,YOK,AÇIK,İETTBAYRAK,Uygun Degil
152,213001,ATATÜRK CADDESİ,POINT (29.2652100000095 40.903179999119),Pendik,KARTAL METRO,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
153,210441,DİVAN YOLU,POINT (29.2954409862678 40.8675749794977),Pendik,ESENYALI 133,YOK,AÇIK,AÇIK DURAK,Uygun Degil
154,210462,HÜRRİYET CADDESİ,POINT (29.3052109999943 40.867960000533),Pendik,PENDIK,YOK,KAPALI,İETTCAMLI,Uygun Degil
155,210712,AYAZMA CADDESİ,POINT (29.2379619999935 40.8987700005378),Pendik,KARTAL CEZA EVI,YOK,AÇIK,AÇIK DURAK,Uygun Degil
156,210751,GÜL SOKAK,POINT (29.2508989999936 40.9071380005392),Pendik,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
157,119521,ALİBEYKÖY ANADOLU LİSESİ ,POINT (28.9411159999879 41.0739660005655),Eyüpsultan,KÜÇÜKKÖY,YOK,KAPALI,CCMODERN,Uygun Degil
158,119722,GÜZELTEPE MEYDANI,POINT (28.9564119999883 41.0735730005655),Eyüpsultan,GÜZELTEPE2,YOK,AÇIK,AÇIK DURAK,Uygun Degil
159,131381,MOBİLYACILAR SİTESİ,POINT (28.6620596505459 41.0674804942544),Esenyurt,AVCILAR,YOK,AÇIK,İETTBAYRAK,Uygun Degil
160,100001,RIFAT ILGAZ CADDESİ,POINT (28.6843529999755 41.0191700005564),Esenyurt,AVCILAR,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
161,212932,KAYNARCA MERKEZ CAMİİ,POINT (29.2699209999939 40.8786020005347),Pendik,FEVZI ÇAKMAK MAH.,YOK,AÇIK,AÇIK DURAK,Uygun Degil
162,213021,AFET KOORDİNASYON MERKEZİ,POINT (29.2773602903122 40.8964787474416),Pendik,SONDURAK,YOK,AÇIK,İETTBAYRAK,Uygun Degil
163,213342,SULTAN AHMET CADDESİ,POINT (29.3042399815225 40.871944042018),Pendik,AHMET YESEVI MAH.,YOK,AÇIK,AÇIK DURAK,Uygun Degil
164,213441,AKKAYA SOKAK,POINT (29.3047919999942 40.9212210005414),Pendik,HAVALIMANI,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
165,215141,EŞREF BİTLİS BULVARI,POINT (29.2991879999941 40.9403680005444),Pendik,ÜMRANIYE,YOK,AÇIK,İETTBAYRAK,Uygun Degil
166,284831,EROL KAYA CADDESİ,POINT (29.2254669999934 40.8769500005344),Pendik,KADIKÖY,YOK,AÇIK,İETTBAYRAK,Uygun Degil
