,HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
930,MR10,ZEYTİNBURNU - KAZLIÇEŞME,MR10/ZEYTİNBURNU - KAZLIÇEŞME,1,Avrupa2,25.18
931,MR11,KAZLIÇEŞME - TOPKAPI,MR11/KAZLIÇEŞME - TOPKAPI,1,Avrupa2,30.37
932,MR12,KAZLIÇEŞME - VEZNECİLER,MR12/KAZLIÇEŞME - VEZNECİLER,0,Avrupa2,41.98
933,MR2,BOSTANCI - AYRILIKÇEŞME,MR2/BOSTANCI - AYRILIKÇEŞME,0,Anadolu1,42.38
934,MR20,YENİBOSNA METRO - KAZLIÇEŞME,MR20/YENİBOSNA METRO - KAZLIÇEŞME,1,Avrupa1,49.01
935,MR30,BASINSİTESİ-KAZLIÇEŞME MARMARAY,MR30/BASINSİTESİ-KAZLIÇEŞME MARMARAY,0,Avrupa1,58.74
936,MR35,KOCAMUSTAFAPAŞA - YENİKAPI,MR35/KOCAMUSTAFAPAŞA - YENİKAPI,0,Avrupa2,13.71
937,MR40,K.S.S. HASTANESİ - ATAKENT - HALKALI MARMARAY,MR40/K.S.S. HASTANESİ - ATAKENT - HALKALI MARMARAY,1,Avrupa1,61.79
938,MR41,ATAKENT 1. ETAP-HALKALI MARMARAY,MR41/ATAKENT 1. ETAP-HALKALI MARMARAY,0,Avrupa1,40.68
939,MR42,HALKALI MARMARAY - İNÖNÜ MAHALLESİ,MR42/HALKALI MARMARAY - İNÖNÜ MAHALLESİ,1,Avrupa1,43.11
940,MR5,YENİKAPI SAHİL-YENİKAPI MARMARAY,MR5/YENİKAPI SAHİL-YENİKAPI MARMARAY,0,Avrupa2,24.55
941,MR50,HALKALI MARMARAY - ŞEHİR HASTANESİ,MR50/HALKALI MARMARAY - ŞEHİR HASTANESİ,1,Avrupa1,84.04
942,MR51,İ.Ü. CERRAHPAŞA KAMPÜSÜ/BAHÇEŞEHİR - HALKALI MARMARAY,MR51/İ.Ü. CERRAHPAŞA KAMPÜSÜ/BAHÇEŞEHİR - HALKALI MARMARAY,1,Avrupa1,148.94
943,MR60,PENDİK/PENDİK YHT-SABİHA GÖKÇEN HAVALİMANI,MR60/PENDİK/PENDİK YHT-SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,100.71
944,MR61,GÜZELYALI-TUZLA DEVLET HASTANESİ,MR61/GÜZELYALI-TUZLA DEVLET HASTANESİ,1,Anadolu2,41.01
945,MR9,ÇAMLIK - AYRILIKÇEŞME,MR9/ÇAMLIK - AYRILIKÇEŞME,1,Anadolu2,108.42
946,R1,UZUNÇAYIR - MALTEPE SAHİL PARKI,R1/UZUNÇAYIR - MALTEPE SAHİL PARKI,0,Anadolu1,63.06
947,R2,CEVİZLİBAĞ-YENİKAPI,R2/CEVİZLİBAĞ-YENİKAPI,0,Avrupa2,26.14
948,R3,EYÜPSULTAN - BEYAZIT,R3/EYÜPSULTAN - BEYAZIT,0,Avrupa3,43.18
949,R5,YENİKAPI MARMARAY-YENİKAPI ETKİNLİK ALANI,R5/YENİKAPI MARMARAY-YENİKAPI ETKİNLİK ALANI,0,Avrupa2,11.18
950,R6,TEPE ÜSTÜ-MALTEPE SAHİL,R6/TEPE ÜSTÜ-MALTEPE SAHİL,0,Anadolu1,112.16
951,R7,ÜSKÜDAR-BÜYÜK ÇAMLICA CAMİİ,R7/ÜSKÜDAR-BÜYÜK ÇAMLICA CAMİİ,0,Anadolu1,43.79
952,SG-1,KADIKÖY - SABİHA GÖKÇEN HAVALİMANI,SG-1/KADIKÖY - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,173.2
953,SG-2,TAKSİM - SABİHA GÖKÇEN HAVALİMANI,SG-2/TAKSİM - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,225.13
954,ST36,ESENTEPE/HASEKİ KAMPÜS-SULTANÇİFTLİĞİ TRAMVAY,ST36/ESENTEPE/HASEKİ KAMPÜS-SULTANÇİFTLİĞİ TRAMVAY,0,Avrupa2,22.09
955,T2,TAKSİM - TÜNEL,T2/TAKSİM - TÜNEL,1,Avrupa3,9.45
956,TB1,SULTANAHMET - DOLMABAHÇE - SULTANAHMET,TB1/SULTANAHMET - DOLMABAHÇE - SULTANAHMET,0,Avrupa2,49.6
957,TB2,SULTANAHMET - ÇAMLICA - SULTANAHMET,TB2/SULTANAHMET - ÇAMLICA - SULTANAHMET,0,Avrupa2,41.79
958,TEST1,TEST1,TEST1/TEST1,0,Anadolu1,43.96
959,TEST2,TEST2,TEST2/TEST2,0,Anadolu1,39.25
960,TH-1,TAKSİM - ATATÜRK HAVALİMANI,TH-1/TAKSİM - ATATÜRK HAVALİMANI,0,Avrupa3,96.92
961,THSS10,TAHSİS EDİRNEKAPI,THSS10/TAHSİS EDİRNEKAPI,1,Avrupa3,10.0
962,THSS11,TAHSİS TOPKAPI,THSS11/TAHSİS TOPKAPI,1,Avrupa2,10.0
963,THSS12,TAHSİS İKİTELLİ,THSS12/TAHSİS İKİTELLİ,1,Avrupa1,10.0
964,THSS_1,TAHSİS ANADOLU,THSS_1/TAHSİS ANADOLU,1,Anadolu1,10.0
965,THSS_2,TAHSİS SARIGAZİ,THSS_2/TAHSİS SARIGAZİ,0,Anadolu2,10.0
966,THSS_3,TAHSİS ŞAHİNKAYA,THSS_3/TAHSİS ŞAHİNKAYA,0,Anadolu1,10.0
967,THSS_4,TAHSİS HASANPAŞA,THSS_4/TAHSİS HASANPAŞA,0,Anadolu1,10.0
968,THSS_6,TAHSİS YUNUS,THSS_6/TAHSİS YUNUS,1,Anadolu2,10.0
969,THSS_7,TAHSİS KAĞITHANE,THSS_7/TAHSİS KAĞITHANE,1,Avrupa3,10.0
970,THSS_8,TAHSİS AYAZAĞA,THSS_8/TAHSİS AYAZAĞA,1,Avrupa3,10.0
971,THSS_9,TAHSİS ÇOBANÇEŞME,THSS_9/TAHSİS ÇOBANÇEŞME,1,Avrupa3,10.0
972,U1,BEŞİKTAŞ-ULUS,U1/BEŞİKTAŞ-ULUS,1,Avrupa3,26.39
973,U2,BEŞİKTAŞ-ULUS,U2/BEŞİKTAŞ-ULUS,1,Avrupa3,25.45
974,UM10,BULGURLU METRO - ÜNALAN METRO,UM10/BULGURLU METRO - ÜNALAN METRO,0,Anadolu1,29.62
975,UM11,KİRAZLITEPE-KISIKLI METRO-ESATPAŞA,UM11/KİRAZLITEPE-KISIKLI METRO-ESATPAŞA,1,Anadolu1,44.35
976,UM12,GÜZELTEPE - ÜMRANİYE METRO,UM12/GÜZELTEPE - ÜMRANİYE METRO,0,Anadolu1,32.83
977,UM13,KÜÇÜKSU / YAVUZTÜRK MAHALLESİ - ÜMRANİYE EĞT.ARŞ.HST.,UM13/KÜÇÜKSU / YAVUZTÜRK MAHALLESİ - ÜMRANİYE EĞT.ARŞ.HST.,1,Anadolu1,52.64
978,UM21,ÇAMLIK MAH. - YAMANEVLER METRO,UM21/ÇAMLIK MAH. - YAMANEVLER METRO,0,Anadolu1,29.47
979,UM22,TEPEÜSTÜ/ALTINŞEHİR METRO-YENİSAHRA METRO,UM22/TEPEÜSTÜ/ALTINŞEHİR METRO-YENİSAHRA METRO,0,Anadolu1,58.34
980,UM25,ESENEVLER - BULGURLU METRO,UM25/ESENEVLER - BULGURLU METRO,0,Anadolu1,15.28
981,UM40,ATATÜRK MAH./ TAŞDELEN - NECİP FAZIL METRO,UM40/ATATÜRK MAH./ TAŞDELEN - NECİP FAZIL METRO,1,Anadolu2,55.28
982,UM60,SANCAKTEPE - NECİP FAZIL METRO,UM60/SANCAKTEPE - NECİP FAZIL METRO,1,Anadolu2,74.42
983,UM61,PAŞAKÖY/YENİDOĞAN-NECİP FAZIL METRO,UM61/PAŞAKÖY/YENİDOĞAN-NECİP FAZIL METRO,1,Anadolu2,55.16
984,UM62,YENİDOĞAN/TAŞDELEN-NECİP FAZIL METRO,UM62/YENİDOĞAN/TAŞDELEN-NECİP FAZIL METRO,1,Anadolu2,55.37
985,UM63,SARIGAZİ EMEK MAHALLESİ - ALTINŞEHİR METRO,UM63/SARIGAZİ EMEK MAHALLESİ - ALTINŞEHİR METRO,0,Anadolu2,46.01
986,UM73,SULTANBEYLİ-NECİP FAZIL METRO,UM73/SULTANBEYLİ-NECİP FAZIL METRO,1,Anadolu2,107.41
987,UM74,SULTANBEYLİ DEVLET HAST.-YAMANEVLER METRO,UM74/SULTANBEYLİ DEVLET HAST.-YAMANEVLER METRO,0,Anadolu2,57.13
988,VİP,VİP,VİP/VİP,0,Avrupa1,71.02
989,YH-1,YENİKAPI İDO - ATATÜRK HAVALİMANI,YH-1/YENİKAPI İDO - ATATÜRK HAVALİMANI,0,Avrupa2,76.1
990,YT-1,YENİKAPI İDO - TAKSİM,YT-1/YENİKAPI İDO - TAKSİM,0,Avrupa2,37.72
991,ÇM41,ÇEKMEKÖY-NECİP FAZIL METRO,ÇM41/ÇEKMEKÖY-NECİP FAZIL METRO,1,Anadolu2,34.87
992,ÇM42,ŞAHİNBEY - ÇEKMEKÖY METRO/ EMEK MAH.,ÇM42/ŞAHİNBEY - ÇEKMEKÖY METRO/ EMEK MAH.,1,Anadolu2,37.24
993,ÇM43,ATATÜRK MAHALLESİ-NECİP FAZIL METRO,ÇM43/ATATÜRK MAHALLESİ-NECİP FAZIL METRO,1,Anadolu2,49.04
994,ÇM44,NİŞANTEPE - ÇEKMEKÖY METRO/ PROF.DR. FERİHA ÖZ HAST.,ÇM44/NİŞANTEPE - ÇEKMEKÖY METRO/ PROF.DR. FERİHA ÖZ HAST.,1,Anadolu2,116.2
995,İST-1,YENİKAPI-İSTANBUL HAVALİMANI,İST-1/YENİKAPI-İSTANBUL HAVALİMANI,0,Avrupa2,220.0
996,İST-10,MADENLER - İSTANBUL HAVALİMANI,İST-10/MADENLER - İSTANBUL HAVALİMANI,0,Anadolu2,240.0
997,İST-11,ARNAVUTKÖY - İSTANBUL HAVALİMANI,İST-11/ARNAVUTKÖY - İSTANBUL HAVALİMANI,0,Avrupa2,31.72
998,İST-12,KEMERBURGAZ - İSTANBUL HAVALİMANI,İST-12/KEMERBURGAZ - İSTANBUL HAVALİMANI,0,Avrupa3,20.58
999,İST-13,SARIYER - HACIOSMAN - İSTANBUL HAVALİMANI,İST-13/SARIYER - HACIOSMAN - İSTANBUL HAVALİMANI,0,Avrupa3,150.0
1000,İST-14,KAYAŞEHİR/BAŞAKŞEHİR-İSTANBUL HAVALİMANI,İST-14/KAYAŞEHİR/BAŞAKŞEHİR-İSTANBUL HAVALİMANI,0,Avrupa1,48.71
1001,İST-15,AVCILAR METROBÜS/BAHÇEŞEHİR-İSTANBUL HAVALİMANI,İST-15/AVCILAR METROBÜS/BAHÇEŞEHİR-İSTANBUL HAVALİMANI,0,Avrupa1,200.0
1002,İST-16,MAHMUTBEY METRO - İSTANBUL HAVALİMANI,İST-16/MAHMUTBEY METRO - İSTANBUL HAVALİMANI,0,Avrupa1,62.28
1003,İST-17,HALKALI İSTASYON/BAŞAKŞEHİR METROKENT-İSTANBUL HAVALİMANI,İST-17/HALKALI İSTASYON/BAŞAKŞEHİR METROKENT-İSTANBUL HAVALİMANI,0,Avrupa1,200.0
1004,İST-18,MECİDİYEKÖY - İSTANBUL HAVALİMANI,İST-18/MECİDİYEKÖY - İSTANBUL HAVALİMANI,0,Avrupa3,67.47
1005,İST-19,TAKSİM - İSTANBUL HAVALİMANI,İST-19/TAKSİM - İSTANBUL HAVALİMANI,0,Avrupa3,160.0
1006,İST-2,BEYLİKDÜZÜ/ÇATALCA-İSTANBUL HAVALİMANI,İST-2/BEYLİKDÜZÜ/ÇATALCA-İSTANBUL HAVALİMANI,0,Avrupa1,180.0
1007,İST-20,SULTANAHMET - İSTANBUL HAVALİMANI,İST-20/SULTANAHMET - İSTANBUL HAVALİMANI,0,Avrupa2,200.0
1008,İST-3,OTOGAR-İSTANBUL HAVALİMANI,İST-3/OTOGAR-İSTANBUL HAVALİMANI,0,Avrupa2,120.0
1009,İST-4,BAKIRKÖY - İSTANBUL HAVALİMANI,İST-4/BAKIRKÖY - İSTANBUL HAVALİMANI,0,Avrupa1,160.0
1010,İST-5,BEŞİKTAŞ - İSTANBUL HAVALİMANI,İST-5/BEŞİKTAŞ - İSTANBUL HAVALİMANI,0,Avrupa3,180.0
1011,İST-6,ALİBEYKÖY CEP OTOGARI - İSTANBUL HAVALİMANI,İST-6/ALİBEYKÖY CEP OTOGARI - İSTANBUL HAVALİMANI,0,Avrupa3,54.21
1012,İST-7,KADIKÖY - İSTANBUL HAVALİMANI,İST-7/KADIKÖY - İSTANBUL HAVALİMANI,0,Anadolu1,220.0
1013,İST-8,PENDİK - İSTANBUL HAVALİMANI,İST-8/PENDİK - İSTANBUL HAVALİMANI,0,Anadolu2,200.0
1014,İST-9,HACIOSMAN - İSTANBUL HAVALİMANI,İST-9/HACIOSMAN - İSTANBUL HAVALİMANI,0,Avrupa3,69.67
