,HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
800,E-2,BEYKOZ - TAKSİM,E-2/BEYKOZ - TAKSİM,0,Anadolu1,137.28
801,E-3,SABİHA GÖKÇEN HAVALİMANI - 4.LEVENT METRO,E-3/SABİHA GÖKÇEN HAVALİMANI - 4.LEVENT METRO,1,Anadolu2,238.67
802,E-57,ESENKENT BAHÇEŞEHİR - BAKIRKÖY,E-57/ESENKENT BAHÇEŞEHİR - BAKIRKÖY,1,Avrupa1,176.99
803,E-58,ESENKENT BAHÇEŞEHİR - MECİDİYEKÖY,E-58/ESENKENT BAHÇEŞEHİR - MECİDİYEKÖY,1,Avrupa1,194.53
804,E-9,SABİHA GÖKÇEN H.L.-BOSTANCI,E-9/SABİHA GÖKÇEN H.L.-BOSTANCI,1,Anadolu2,159.19
805,EC1,CİBALİ-EMİNÖNÜ,EC1/CİBALİ-EMİNÖNÜ,1,Avrupa2,10.0
806,EL2,EMİRGAN - 4.LEVENT METRO,EL2/EMİRGAN - 4.LEVENT METRO,1,Avrupa3,31.05
807,EM1,EMİNÖNÜ - KULAKSIZ,EM1/EMİNÖNÜ - KULAKSIZ,1,Avrupa3,36.9
808,EM2,EMİNÖNÜ - KULAKSIZ,EM2/EMİNÖNÜ - KULAKSIZ,1,Avrupa3,32.42
809,ER1,KADIKÖY - ERENKÖY,ER1/KADIKÖY - ERENKÖY,1,Anadolu1,34.63
810,ER2,KADIKÖY - ERENKÖY,ER2/KADIKÖY - ERENKÖY,1,Anadolu1,33.5
811,ES1,ESENYURT BELEDİYESİ - BEYLİKDÜZÜ DEVLET HASTANESİ,ES1/ESENYURT BELEDİYESİ - BEYLİKDÜZÜ DEVLET HASTANESİ,1,Avrupa1,71.21
812,ES2,TÜYAP / KIRAÇ - AKÇABURGAZ,ES2/TÜYAP / KIRAÇ - AKÇABURGAZ,1,Avrupa1,91.88
813,ES3,ESENYURT DEVLET HASTANESİ - HARAMİDERE,ES3/ESENYURT DEVLET HASTANESİ - HARAMİDERE,1,Avrupa1,66.5
814,ES4,KİPTAŞ 4. ETAP/5.ETAP-ESENYURT DEVLET HASTANESİ,ES4/KİPTAŞ 4. ETAP/5.ETAP-ESENYURT DEVLET HASTANESİ,0,Avrupa1,33.37
815,F2,KARAKÖY-BEYOĞLU TÜNEL,F2/KARAKÖY-BEYOĞLU TÜNEL,1,Metrobüs,10.0
816,FB1,KADIKÖY - FENERBAHÇE,FB1/KADIKÖY - FENERBAHÇE,1,Anadolu1,26.24
817,FB2,KADIKÖY - FENERBAHÇE,FB2/KADIKÖY - FENERBAHÇE,1,Anadolu1,22.85
818,GZ1,KADIKÖY - GÖZTEPE,GZ1/KADIKÖY - GÖZTEPE,1,Anadolu1,27.93
819,GZ2,KADIKÖY - GÖZTEPE,GZ2/KADIKÖY - GÖZTEPE,1,Anadolu1,29.93
820,H-1,MAHMUTBEY METRO - İSTANBUL HAVALİMANI,H-1/MAHMUTBEY METRO - İSTANBUL HAVALİMANI,1,Avrupa1,195.7
821,H-10,OTOGAR-İSTANBUL HAVALİMANI,H-10/OTOGAR-İSTANBUL HAVALİMANI,0,Avrupa2,231.06
822,H-11,BAKIRKÖY - İSTANBUL HAVALİMANI,H-11/BAKIRKÖY - İSTANBUL HAVALİMANI,0,Avrupa1,235.27
823,H-2,MECİDİYEKÖY - İSTANBUL HAVALİMANI,H-2/MECİDİYEKÖY - İSTANBUL HAVALİMANI,1,Avrupa3,120.0
824,H-3,HALKALI MARMARAY - İSTANBUL HAVALİMANI,H-3/HALKALI MARMARAY - İSTANBUL HAVALİMANI,1,Avrupa1,218.15
825,H-4,ATATÜRK HAVALİMANI-İSTANBUL HAVALİMANI,H-4/ATATÜRK HAVALİMANI-İSTANBUL HAVALİMANI,0,Avrupa1,225.63
826,H-6,YUNUS EMRE MAHALLESİ-İSTANBUL HAVALİMANI,H-6/YUNUS EMRE MAHALLESİ-İSTANBUL HAVALİMANI,1,Avrupa2,185.06
827,H-7,ALİBEYKÖY CEP OTOGARI - İSTANBUL HAVALİMANI,H-7/ALİBEYKÖY CEP OTOGARI - İSTANBUL HAVALİMANI,0,Avrupa3,179.22
828,H-8,HACIOSMAN METRO-İSTANBUL HAVALİMANI,H-8/HACIOSMAN METRO-İSTANBUL HAVALİMANI,1,Avrupa3,262.0
829,H-9,CEVİZLİBAĞ - İSTANBUL HAVALİMANI,H-9/CEVİZLİBAĞ - İSTANBUL HAVALİMANI,1,Avrupa2,246.11
830,HA-1,ÇARŞI-AKÇAKOCA-İTFAİYE,HA-1/ÇARŞI-AKÇAKOCA-İTFAİYE,1,Anadolu1,10.06
831,HA-2,ÇARŞI-ÇAM LİMANI,HA-2/ÇARŞI-ÇAM LİMANI,1,Anadolu1,14.29
832,HA-3,ÇARŞI-DEĞİRMENBURNU-KÜÇÜKTUR,HA-3/ÇARŞI-DEĞİRMENBURNU-KÜÇÜKTUR,0,Anadolu1,33.33
833,HM1,HACIOSMAN METRO - KOCATAŞ,HM1/HACIOSMAN METRO - KOCATAŞ,1,Avrupa3,38.37
834,HM2,KONAKLAR MAHALLESİ - 4.LEVENT METRO,HM2/KONAKLAR MAHALLESİ - 4.LEVENT METRO,1,Avrupa3,11.12
835,HM3,HÜRRİYET MAHALLESİ - ŞİŞLİ,HM3/HÜRRİYET MAHALLESİ - ŞİŞLİ,1,Avrupa3,13.02
836,HM4,LEVENT BASIN SİTESİ - ŞİŞLİ,HM4/LEVENT BASIN SİTESİ - ŞİŞLİ,1,Avrupa3,28.87
837,HS1,YENİBOSNA METRO - ŞEHİR HASTANESİ,HS1/YENİBOSNA METRO - ŞEHİR HASTANESİ,1,Avrupa1,95.74
838,HS2,AVCILAR METROBÜS - ŞEHİR HASTANESİ,HS2/AVCILAR METROBÜS - ŞEHİR HASTANESİ,1,Avrupa1,130.68
839,HT1,K.S.S. HASTANESİ - ÜÇYÜZLÜ METRO,HT1/K.S.S. HASTANESİ - ÜÇYÜZLÜ METRO,1,Avrupa1,101.65
840,HT10,BATIŞEHİR - YENİBOSNA METRO,HT10/BATIŞEHİR - YENİBOSNA METRO,1,Avrupa1,68.98
841,HT11,GİYİMKENT - KUYUMCUKENT,HT11/GİYİMKENT - KUYUMCUKENT,1,Avrupa2,93.97
842,HT12,GÜNEŞLİ BASIN TESİSLERİ - YENİBOSNA METRO,HT12/GÜNEŞLİ BASIN TESİSLERİ - YENİBOSNA METRO,1,Avrupa1,44.66
843,HT13,YENİ MAHALLE METRO - ZEYTİNBURNU,HT13/YENİ MAHALLE METRO - ZEYTİNBURNU,1,Avrupa1,54.74
844,HT18,HADIMKÖY/İ.Ü. CERRAHPAŞA KAMPÜSÜ - TÜYAP,HT18/HADIMKÖY/İ.Ü. CERRAHPAŞA KAMPÜSÜ - TÜYAP,1,Avrupa1,132.16
845,HT19,İ.Ü.CERRAHPAŞA KAMPÜSÜ - TÜYAP METROBÜS,HT19/İ.Ü.CERRAHPAŞA KAMPÜSÜ - TÜYAP METROBÜS,1,Avrupa1,52.97
846,HT2,K.S.S. HASTANESİ-MAHMUTBEY METRO,HT2/K.S.S. HASTANESİ-MAHMUTBEY METRO,0,Avrupa1,66.32
847,HT20,ŞAHİNTEPE - YENİBOSNA METRO,HT20/ŞAHİNTEPE - YENİBOSNA METRO,1,Avrupa1,98.11
848,HT29,KIRAÇ - AVCILAR METROBÜS,HT29/KIRAÇ - AVCILAR METROBÜS,1,Avrupa1,79.7
849,HT48,TEPECİK KİPTAŞ KONUTLARI - AVCILAR METROBÜS,HT48/TEPECİK KİPTAŞ KONUTLARI - AVCILAR METROBÜS,1,Avrupa1,138.1
850,HT5,KOCATEPE METRO-NUR SİTESİ,HT5/KOCATEPE METRO-NUR SİTESİ,1,Avrupa2,57.08
851,HT6,BATIŞEHİR-KOCATEPE METRO,HT6/BATIŞEHİR-KOCATEPE METRO,1,Avrupa2,47.52
852,KA-1,ÇARŞI-NARÇİÇEĞİ,KA-1/ÇARŞI-NARÇİÇEĞİ,1,Anadolu1,10.32
853,KA-2,TEKİNAY-PLAJLAR-BÜYÜK TUR,KA-2/TEKİNAY-PLAJLAR-BÜYÜK TUR,0,Anadolu1,11.6
854,KM10,AYDINLI TOKİ / İÇMELER - PENDİK METRO/YHT - KARTAL,KM10/AYDINLI TOKİ / İÇMELER - PENDİK METRO/YHT - KARTAL,1,Anadolu2,101.95
855,KM11,AYDINLI TOKİ / A.YESEVİ - PENDİK KÖPRÜSÜ,KM11/AYDINLI TOKİ / A.YESEVİ - PENDİK KÖPRÜSÜ,1,Anadolu2,59.7
856,KM12,TUZLA DENİZ HARP OKULU - KARTAL METRO,KM12/TUZLA DENİZ HARP OKULU - KARTAL METRO,1,Anadolu2,105.85
857,KM13,TUZLA - PENDİK METRO/ YHT / PENDİK,KM13/TUZLA - PENDİK METRO/ YHT / PENDİK,1,Anadolu2,107.91
858,KM14,AHMET YESEVİ - TAVŞANTEPE METRO/ YENİŞEHİR,KM14/AHMET YESEVİ - TAVŞANTEPE METRO/ YENİŞEHİR,1,Anadolu2,127.27
859,KM15,YENİŞEHİR-PENDİK METRO,KM15/YENİŞEHİR-PENDİK METRO,1,Anadolu2,70.28
860,KM16,TUZLA DEVLET HASTANESİ/AHMET YESEVİ-PENDİK,KM16/TUZLA DEVLET HASTANESİ/AHMET YESEVİ-PENDİK,0,Anadolu2,118.09
861,KM17,TUZLA EMLAK KONUTLARI-TAVŞANTEPE METRO,KM17/TUZLA EMLAK KONUTLARI-TAVŞANTEPE METRO,1,Anadolu2,49.3
862,KM18,SABANCI ÜNİ./MEDENİYET ÜNİ. - PENDİK METRO/KARTAL,KM18/SABANCI ÜNİ./MEDENİYET ÜNİ. - PENDİK METRO/KARTAL,1,Anadolu2,133.92
863,KM2,KAVAKPINAR-TAVŞANTEPE METRO,KM2/KAVAKPINAR-TAVŞANTEPE METRO,1,Anadolu2,31.26
864,KM21,HİLAL KONUTLARI - KARTAL METRO / CEVİZLİ,KM21/HİLAL KONUTLARI - KARTAL METRO / CEVİZLİ,1,Anadolu2,87.17
865,KM23,KAVAKPINAR / MARMARA HST. - KARTAL METRO / CEVİZLİ,KM23/KAVAKPINAR / MARMARA HST. - KARTAL METRO / CEVİZLİ,1,Anadolu2,96.46
866,KM24,KAVAKPINAR - PENDİK METRO/YHT/PENDİK,KM24/KAVAKPINAR - PENDİK METRO/YHT/PENDİK,1,Anadolu2,68.86
867,KM25,YENİŞEHİR - KARTAL METRO / CEVİZLİ,KM25/YENİŞEHİR - KARTAL METRO / CEVİZLİ,1,Anadolu2,126.69
868,KM26,ÇAMLIK MAHALLESİ - PENDİK METRO/ YHT / PENDİK,KM26/ÇAMLIK MAHALLESİ - PENDİK METRO/ YHT / PENDİK,1,Anadolu2,93.13
869,KM27,YENİŞEHİR - PENDİK METRO/ YHT / PENDİK,KM27/YENİŞEHİR - PENDİK METRO/ YHT / PENDİK,1,Anadolu2,100.41
870,KM28,OKAN ÜNİVERSİTESİ -  PENDİK METRO/ YHT - KARTAL,KM28/OKAN ÜNİVERSİTESİ -  PENDİK METRO/ YHT - KARTAL,1,Anadolu2,133.01
871,KM29,YENİŞEHİR/MARMARA Ü. HAST. - KARTAL METRO/CEVİZLİ,KM29/YENİŞEHİR/MARMARA Ü. HAST. - KARTAL METRO/CEVİZLİ,1,Anadolu2,115.51
872,KM3,UĞURMUMCU-YAKACIK METRO/ PENDİK,KM3/UĞURMUMCU-YAKACIK METRO/ PENDİK,1,Anadolu2,71.5
873,KM30,KARTAL / ATALAR - ESENKENT METRO,KM30/KARTAL / ATALAR - ESENKENT METRO,1,Anadolu2,39.85
874,KM31,UĞURMUMCU - KARTAL,KM31/UĞURMUMCU - KARTAL,1,Anadolu2,54.83
875,KM32,KURFALI - KARTAL METRO / KARTAL,KM32/KURFALI - KARTAL METRO / KARTAL,1,Anadolu2,42.81
876,KM33,PENDİK SAHİL/ YHT - ESENKENT METRO,KM33/PENDİK SAHİL/ YHT - ESENKENT METRO,1,Anadolu2,77.28
877,KM34,KARTAL METRO-TOPSELVİ/GÜLSUYU METRO,KM34/KARTAL METRO-TOPSELVİ/GÜLSUYU METRO,1,Anadolu2,73.41
878,KM35,UĞURMUMCU-CEVİZLİ,KM35/UĞURMUMCU-CEVİZLİ,1,Anadolu2,64.48
879,KM36,KURFALI MAHALLESİ-CEVİZLİ,KM36/KURFALI MAHALLESİ-CEVİZLİ,1,Anadolu2,50.59
880,KM37,HİLAL KONUTLARI-PENDİK METRO/YHT/PENDİK,KM37/HİLAL KONUTLARI-PENDİK METRO/YHT/PENDİK,1,Anadolu2,87.68
